original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,Class
836.6162109,1439.466309,7067426159,5.209056107,326.2135925,2.83934089,2061.202148,1175.490047,190.8025331,1215.050903,502.4792175,1558.722931,136.1840677,1198.649555,-0.305260897,18638791367,0.031964501,54983.90502,871.498061,163504.3307,-1175.688333,237.7673156,38.97936962,0.703262905,4.26051494,3.596417044,20.24712534,0.337931868,0.252669702,0.99081845,0.940426731,-0.181648387,0.903942038,0.25503596,28.66044358,0.002792525,9.153465329,0.747214155,0.010327565,57.32088716,5.902715894,69.1866713,7.655326143,923.8554584,0.187813673,3.39331238,157.2333808,88.18464401,845.3909331,12.03110388,11284.2964,0.02372598,0.00408911,0.343981754,267.0697434,0.002487591,141.9117215,0.031167569,90.34561145,839.1599013,1.270609724,1089.755555,0.004812743,0.004256734,5.613162421,3952.085582,0.865778812,0.925422616,0.096727416,0.944186194,788.0611578,0.004142624,50.07747563,0.025693933,116.0565508,775.5105182,30.80502822,30700.39713,0.047763028,0.006802607,818.2365316,0.419823772,0.673984325,511.006739,0.005731724,7.208392916,0.396218744,24.43516705,0.197490091,0.002677538,4022.349844,0.143376489,3.403427958,0.680464628,0.189526845,10.00560162,52.79252981,39.4933089,58.13120103,59.5431378,59.5431378,12870.92208,35.92344918,0.560586339,4737.850888,0.368105009,12972.78708,0
851,1440,23505039746,4.974729087,286,3.576933248,1580,1208.763547,180.520281,1273,158,1422,123.7486436,1229.937198,-1.052509608,61976179018,0.039089814,51636.19715,1951.307585,243518.761,-4200.598441,260.3706176,30.72428048,0.784254804,3.548454385,3.341745709,17.20854837,0.402237986,0.330051576,0.991458782,0.946281103,-0.208095831,0.910564856,0.311913009,43.51832468,0.004493474,8.774106507,0.814277027,0.014741353,87.03664936,5.838641209,72.77372453,7.970285001,1956.375724,0.125909108,7.761057446,607.3775261,82.71343217,1920.654846,25.1588364,57310.89259,0.012744922,0.000776504,0.230117485,354.7551427,0.000302103,514.4613365,0.037640001,85.0101475,1880.416217,1.543661721,3084.335667,0.001099083,0.000811714,5.575439143,11004.52855,0.798423861,0.878035981,0.2150537,0.910647534,1686.655629,0.000762635,116.3569811,0.029272197,95.78294618,1492.492579,381.5089308,939849.8096,0.160818812,0.001304068,1492.009308,0.375348254,0.635381935,903.3257343,0.000989466,7.306432427,0.25582443,366.2291907,0.408439845,0.000845168,3198.013655,0.136909684,1.364840554,0.819897919,0.116373927,9.859882702,84.72587457,75,88.32901916,88.96376106,90.22413497,40724.23096,69.46656824,0.483193094,11846.73483,0.290901376,40969.33594,1
324,556,520245224,3.639383387,113,2.632868314,593,433.459985,65.97774016,428,66,527,48.45194853,441.0860771,-0.031294627,2381524165,0.089427317,6669.368818,269.3394614,2369.38061,12.02365803,30.31899115,13.41072856,0.389150664,2.651360446,2.802231054,5.145440461,0.446468334,0.377235501,0.974590028,0.901143643,-0.146884604,0.67887305,0.312761504,16.28075654,0.013728688,6.715975447,0.502913761,0.039681338,32.56151308,4.37743184,10.93242993,6.806455525,290.9588631,0.108810345,8.975842051,239.1286462,10.73168812,262.0620793,34.12565445,10282.77337,0.135532173,0.005028303,0.146514367,34.32346395,0.001240736,201.3552563,0.08918552,10.458994,257.4670094,2.078783516,568.9846644,0.009725645,0.005209525,4.285514846,1814.073956,0.770296459,0.845578505,0.500824705,0.888126531,226.4031806,0.004733914,33.11386139,0.081965003,12.38007916,231.5519802,504.9059406,150184.995,1.981627903,0.008481404,120.1386139,0.297372807,0.564303945,124.9776842,0.006332482,6.046768033,0.151084518,461.0972699,1.020639972,0.002747116,368.8241501,0.086547532,0.589976983,0.86405834,0.616744893,20.17234307,32.70775858,36.01757384,37.87635839,35.8443905,40.97266344,12094.6527,28.26141158,0.706758959,3605.302727,0.298090637,12240.75748,1
305,572.1,1530159411,4.041265522,148,2.501110264,798,447.6780992,83.58852685,456,138,660,61.06908494,459.0923209,-0.028405336,4520298498,0.068241999,10350.07861,191.0594106,6557.286695,-48.55233388,50.84180352,11.94330196,0.614830918,2.477713111,2.864875258,5.448194635,0.4359707,0.362753432,0.98476397,0.921442795,-0.132418011,0.758654757,0.346711159,13.46604488,0.008395511,7.448062715,0.63850861,0.021881731,26.93208976,4.822665253,15.69627637,7.122359661,917.6369146,0.126396269,6.274030007,495.4369146,16.65817246,197.1015152,24.48787879,4878.815014,0.184927874,0.008285098,0.186988548,37.82008215,0.001700647,426.9180579,0.067246993,16.91147165,197.0435427,1.559474247,307.7871086,0.012689865,0.008357476,4.649626286,5075.806447,0.790312365,0.874316592,0.215069549,0.90619208,178.5482126,0.007619163,93.98546896,0.062077588,20.06350766,202.7239102,353.8811096,82343.48151,1.858519453,0.009326153,453.9749009,0.299851322,0.563019959,116.3274844,0.005382058,6.54957,0.208539945,330.8867409,1.783331498,0.001410215,496.1583681,0.077145828,0.355292765,0.650584126,0.204582443,12.6336841,61.75351084,46.57832193,65.4355564,68.36825956,69.31589127,21291.68667,40.17585385,0.583692511,6364.633214,0.298925741,21447.02497,0
1199,1964,6768678868,5.563007304,425,2.698724212,2544,1598.567747,242.3413583,1621,789,1755,176.0622038,1625.725305,-0.177522068,17847102484,0.02426403,87563.926,1285.162901,417560.3019,-2636.666123,391.4942817,89.95499407,0.614335139,6.95508412,4.196997867,38.27808752,0.245307157,0.158206063,0.983433414,0.916384241,-0.194905091,0.930583912,0.164178496,34.77485101,0.001423121,9.830695583,0.700432322,0.004925983,69.54970203,6.235746622,120.3623189,7.445406912,725.5279188,0.28329868,1.435045339,62.14017962,140.0795713,1260.250683,5.922295978,8189.576728,0.012866487,0.003259929,0.484710776,587.3153308,0.001584283,59.02263902,0.024081339,141.3413039,1255.611881,1.149304962,1459.082332,0.003651833,0.003298083,5.800263325,2262.498388,0.921553723,0.956987955,0.053964223,0.968348519,1212.558988,0.003219084,32.61728395,0.022371251,156.7441597,1210.899863,6.048696845,8471.161866,0.012787467,0.003561426,702.5871056,0.48188416,0.72173361,866.3104411,0.002301821,7.061401116,0.569308864,2.963349177,0.101405868,0.004059331,8284.415678,0.264577425,6.581543901,0.960122685,0.288615522,9.682928276,33.54957556,36.68537047,35.20259445,39.25204015,40.08555304,6672.98584,32.21170857,0.617116294,2777.562966,0.416239901,6752.636719,0
253,367,1502269943,2.890695507,60,3.383634602,451,311.8281921,35.72193658,315,57,394,25.31972382,315.0107644,-0.284492647,6876791400,0.157058657,1994.96031,123.5838535,309.7038045,-10.34177874,9.568145705,2.424193947,0.584866377,1.120051415,1.84994296,1.003554293,0.603594269,0.562672891,0.991862236,0.941364302,-0.18519567,0.705622381,0.432709745,11.03619626,0.042347331,5.122194702,0.662782246,0.084042684,22.07239252,3.625879266,2.998084913,6.728478704,1149.472686,0.075927914,16.1128677,2377.711011,3.281155495,124.0560143,77.67507761,9554.932162,0.685387058,0.009387227,0.054768302,6.494618829,0.000714544,1688.997961,0.150565118,3.577823007,123.9171192,3.870872031,480.6624286,0.034927817,0.009636937,4.055049041,7553.371496,0.623063423,0.736686195,1.351784505,0.795692926,98.65784179,0.00779372,64.38735818,0.104355524,7.50819698,112.6288493,41200.87682,5328037.754,331.3472422,0.016182331,157.6126418,0.255449987,0.515312107,58.3992701,0.00880563,6.038157034,0.040755664,40598.83862,6.881059171,0.000578166,112.0275991,0.019326321,0.087586208,0.858462869,0.349200529,24.2988074,69.58410815,64.95860882,79.80011504,81.68827108,81.93233179,68992.06644,59.73537309,0.679381598,11973.92262,0.173555066,69300.29153,1
327,593,728388793,3.983394964,138,2.658731859,738,465.3023617,80.20761904,463,227,511,57.91786538,475.7607473,0.146343793,1920556388,0.070874443,9842.000871,122.1828325,7591.259557,41.91454627,52.0674234,5.987169932,0.790122608,1.788076765,2.43779935,2.579118418,0.498971816,0.437631918,0.98710154,0.926119945,-0.228605439,0.891355928,0.402336664,10.51873064,0.01126163,6.952098384,0.816816431,0.03078101,21.03746127,4.843254025,14.51364833,7.226945565,348.3865755,0.108261832,7.867810842,228.073959,15.80999523,118.5696085,35.29832194,4090.163766,0.702488819,0.022217532,0.117608132,12.78223721,0.003834352,188.560278,0.070003525,15.92670391,118.6162971,1.797298282,212.5287779,0.038534548,0.02269487,4.722597743,2009.883592,0.73255789,0.837022518,0.302775533,0.875045725,103.775803,0.020186503,24.26145553,0.065394759,19.32257104,104.9973046,754.4043127,92501.69542,10.13953297,0.03832858,89.59838275,0.241505075,0.505301106,48.50174002,0.020998012,6.417177309,0.115288999,679.1685617,1.280977565,0.004214893,185.7256613,0.083009166,0.629992823,0.718591759,0.229453482,9.582454557,41.76207949,32.94935745,44.16450958,46.875,46.875,8398.718262,30.00988616,0.643429858,3105.452728,0.369753173,8484.960938,0
0,0,0,-3.20E-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,-3.20E-16,0,1,1,1,1,0,0,0,1,1,-3.20E-16,1,1,2,-3.20E-16,0,3.277502083,2326.136656,0.138691668,11.0384772,16772,0,1,29.01037443,29.01037443,29.01037443,1,0.343537126,0.343537126,0.343537126,14682.38462,1,0,1,1.573986831,1.573986831,1.573986831,1,0.59607093,11832.62851,0.803551342,0.875410483,0.25739878,0.915035756,0.915035756,0.915035756,5864,1,0,1,3990.799113,3990.799113,3990.799113,1,3935.531378,0.671134273,0.844408639,0.844408639,0.844408639,1.082284743,0.349630336,3982.618577,0,1000000,0,0,0,0.550591789,0.427927927,166.7789157,389.7359937,220.9489374,262.2176428,274.4842698,308.5980535,-568.4153289,214.5854381,0.003210404,103363.7421,-181.8454514,49545.92583,0
831,1647,5348417352,5.529253506,431,2.557778991,2024,1283.761719,249.8515905,1346.5,505,1519,181.2458659,1319.477652,-0.530530453,14102272315,0.024694231,92977.12291,1201.698117,440645.9188,-4027.403419,390.5826278,77.48733494,0.646862288,6.518274702,4.109249011,32.33037274,0.254115989,0.16637584,0.980745869,0.909734793,-0.171019742,0.90131147,0.17131731,33.50742144,0.001447152,9.82662462,0.766338953,0.004930962,67.01484289,6.221637703,117.0174907,7.497740027,825.5384115,0.268729952,1.549895816,75.86067708,148.8075306,1164.968424,6.389322917,7923.64681,0.052577368,0.006961124,0.463143496,520.6247457,0.003085956,71.84793943,0.024520427,149.2228277,1161.674592,1.162063045,1359.461768,0.008366821,0.006900051,5.781964684,2691.194923,0.916650587,0.953851162,0.058961222,0.966220263,1119.67023,0.006651865,37.92668269,0.022792478,155.5917261,1122.936298,7.3125,9048.26262,0.063223127,0.006677045,784.5504808,0.471484664,0.713975679,795.0642977,0.004845765,7.074614122,0.541666667,3.904215976,0.147759587,0.003347006,5950.815258,0.339858106,4.366899855,0.806487561,0.240892957,9.605669166,39.87525945,37.61980861,44.46913431,46.85624625,46.85624625,7995.410156,32.15890075,0.598738455,3229.541012,0.40392437,8100,0
314,516,1976960657,3.45912967,104,2.43240236,571,430.6681787,60.09516896,445,191,380,44.14337076,436.8156367,-0.561766479,8968914887,0.102003673,5332.820307,127.9314841,1730.701869,-73.88559672,25.10054526,5.869330298,0.611531358,1.609452019,2.318951485,2.899645383,0.553650105,0.504569263,0.97949086,0.9169762,-0.189652355,0.747595756,0.398597174,11.09502505,0.023189552,6.097362723,0.65735097,0.058537802,22.19005011,4.23872584,7.742468889,7.113818316,807.9614902,0.077981034,15.88797872,1056.860052,8.632806492,124.1460284,63.1816427,9277.594344,0.586755896,0.012796046,0.084279373,7.5979614,0.001767277,784.3519709,0.09730962,8.823867237,118.9292132,2.769926829,366.3065612,0.031695451,0.013653133,4.435592401,5623.445086,0.666139765,0.773960042,0.793583231,0.830443854,95.67465601,0.011841167,82.97,0.1037125,7.986735938,78.48375,7006.57625,1101795.966,48.99798206,0.024507607,185.82,0.232275,0.491496722,35.9976184,0.013755091,6.210264294,0.077212624,6838.841373,5.857446949,0.000938852,120.6548654,0.081050179,0.095769185,0.736397683,0.373936548,23.30710774,62.32904451,49.80243456,71.53255748,65.74520424,71.87729305,46745.596,45.89896397,0.700700184,8955.964439,0.19158948,47004.9451,0
